moduleId/I, x0_cm/D, y0_cm/D, z0_cm/D, x1_cm/D, y1_cm/D, z1_cm/D, x2_cm/D, y2_cm/D, z2_cm/D, x3_cm/D, y3_cm/D, z3_cm/D, nstrips/I, nwires/I, nwiregroups/I, evenBit/I, frBit/I, ccwBit/I
29, 302.10443115, 209.73812866, 839.64453125, 258.69580078, 261.45327759, 839.66497803, 483.74804688, 488.94970703, 839.79602051, 564.92419434, 392.24014282, 839.75787354, 80, 1024, 64, 0, 0, 1
30, 261.10208130, 259.06970215, 814.66595459, 209.39212036, 302.48376465, 814.92150879, 391.63745117, 565.52307129, 815.27447510, 488.33737183, 484.33688354, 814.79656982, 80, 1024, 64, 1, 1, 1
31, 212.17221069, 300.45077515, 839.67175293, 153.69802856, 334.20779419, 839.67175293, 287.40603638, 624.94018555, 839.67175293, 396.75534058, 561.81311035, 839.67175293, 80, 1024, 64, 0, 0, 1
32, 156.77351379, 332.70037842, 814.91503906, 93.32304382, 355.78250122, 814.77380371, 174.47485352, 665.32659912, 814.87829590, 293.13003540, 622.16204834, 815.14245605, 80, 1024, 64, 1, 1, 1
33, 138.57781982, 98.75103760, 948.82476807, 164.88037109, 42.34663391, 948.65698242, 330.71682739, 84.92825317, 948.56420898, 277.96392822, 198.05404663, 948.90075684, 80, 546, 96, 1, 0, 0
34, 96.41055298, 140.16720581, 923.83691406, 140.42147827, 96.16384125, 924.06469727, 281.68582153, 192.90740967, 924.13342285, 193.41665649, 281.16143799, 923.67657471, 80, 546, 96, 0, 1, 0
35, 42.69638824, 164.73649597, 948.66357422, 99.10410309, 138.44052124, 948.66119385, 198.75793457, 277.66705322, 948.82421875, 85.62550354, 330.40679932, 948.82897949, 80, 546, 96, 1, 0, 0
36, 332.70648193, 156.82766724, 924.44934082, 355.79458618, 93.37921906, 924.42041016, 665.33099365, 174.56024170, 924.27484131, 622.15527344, 293.21163940, 924.32891846, 80, 1024, 64, 0, 1, 0
37, 300.32980347, 212.17105103, 948.93103027, 334.08898926, 153.69822693, 949.05273438, 624.81604004, 287.41757202, 949.36999512, 561.68487549, 396.76434326, 949.14245605, 80, 1024, 64, 1, 0, 0
38, 258.95635986, 261.11795044, 924.31225586, 302.36987305, 209.40707397, 924.18334961, 565.41278076, 391.64761353, 924.19866943, 484.22756958, 488.34927368, 924.43969727, 80, 1024, 64, 0, 1, 0
